"","kegg_code","scientific_name","common_name"
"3369","atf","Agrobacterium fabacearum Ach5","Agrobacterium fabacearum Ach5"
"3370","avi","Agrobacterium vitis","Agrobacterium vitis"
"3371","agc","Agrobacterium sp. RAC06","Agrobacterium sp. RAC06"
"3372","aro","Agrobacterium rhizogenes","Agrobacterium rhizogenes"
"3373","agt","Agrobacterium sp. 33MFTa1.1","Agrobacterium sp. 33MFTa1.1"
"3374","alf","Agrobacterium larrymoorei","Agrobacterium larrymoorei"
"3375","arui","Agrobacterium rubi","Agrobacterium rubi"
"3376","avq","Agrobacterium vaccinii","Agrobacterium vaccinii"
"3377","ret","Rhizobium etli CFN 42","Rhizobium etli CFN 42"
"3378","rec","Rhizobium etli CIAT 652","Rhizobium etli CIAT 652"
"3379","rel","Rhizobium etli bv. mimosae Mim1","Rhizobium etli bv. mimosae Mim1"
"3380","rep","Rhizobium etli bv. phaseoli IE4803","Rhizobium etli bv. phaseoli IE4803"
"3381","rei","Rhizobium sp. IE4771","Rhizobium sp. IE4771"
"3382","rle","Rhizobium leguminosarum bv. viciae 3841","Rhizobium leguminosarum bv. viciae 3841"
"3383","rlt","Rhizobium leguminosarum bv. trifolii WSM2304","Rhizobium leguminosarum bv. trifolii WSM2304"
"3384","rlg","Rhizobium leguminosarum bv. trifolii WSM1325","Rhizobium leguminosarum bv. trifolii WSM1325"
"3385","rlb","Rhizobium leguminosarum bv. trifolii WSM1689","Rhizobium leguminosarum bv. trifolii WSM1689"
"3386","rlu","Rhizobium leguminosarum bv. trifolii CB782","Rhizobium leguminosarum bv. trifolii CB782"
"3387","rtr","Rhizobium tropici","Rhizobium tropici"
"3388","rir","Rhizobium pusense IRBG74","Rhizobium pusense IRBG74"
"3389","rpus","Rhizobium pusense CFBP5875","Rhizobium pusense CFBP5875"
"3390","rhl","Rhizobium favelukesii","Rhizobium favelukesii"
"3391","rga","Rhizobium gallicum bv. gallicum","Rhizobium gallicum bv. gallicum"
"3392","rhn","Rhizobium sp. N1341","Rhizobium sp. N1341"
"3393","rpha","Rhizobium phaseoli","Rhizobium phaseoli"
"3394","rhx","Rhizobium sp. N731","Rhizobium sp. N731"
"3395","rhv","Rhizobium sp. S41","Rhizobium sp. S41"
"3396","rhk","Rhizobium sp. Kim5","Rhizobium sp. Kim5"
"3397","rez","Rhizobium esperanzae","Rhizobium esperanzae"
"3398","rjg","Rhizobium jaguaris","Rhizobium jaguaris"
"3399","rhr","Rhizobium sp. 11515TR","Rhizobium sp. 11515TR"
"3400","rgr","Rhizobium grahamii","Rhizobium grahamii"
"3401","rad","Rhizobium acidisoli","Rhizobium acidisoli"
"3402","roy","Rhizobium oryzihabitans","Rhizobium oryzihabitans"
"3403","rii","Rhizobium indicum","Rhizobium indicum"
"3404","rhid","Rhizobium hidalgonense","Rhizobium hidalgonense"
"3405","rbq","Rhizobium binae","Rhizobium binae"
"3406","rln","Rhizobium lentis","Rhizobium lentis"
"3407","rban","Rhizobium bangladeshense","Rhizobium bangladeshense"
"3408","rrg","Rhizobium ruizarguesonis","Rhizobium ruizarguesonis"
"3409","rls","Rhizobium lusitanum","Rhizobium lusitanum"
"3410","ngl","Neorhizobium galegae bv. officinalis bv. officinalis HAMBI 1141","Neorhizobium galegae bv. officinalis bv. officinalis HAMBI 1141"
"3411","ngg","Neorhizobium galegae bv. orientalis HAMBI 540","Neorhizobium galegae bv. orientalis HAMBI 540"
"3412","neo","Neorhizobium sp. SOG26","Neorhizobium sp. SOG26"
"3413","nen","Neorhizobium sp. NCHU2750","Neorhizobium sp. NCHU2750"
"3414","rht","Pseudorhizobium banfieldiae","Pseudorhizobium banfieldiae"
"3415","rfv","Pseudorhizobium flavum","Pseudorhizobium flavum"
"3416","las","Candidatus Liberibacter asiaticus psy62","Candidatus Liberibacter asiaticus psy62"
"3417","laa","Candidatus Liberibacter asiaticus gxpsy","Candidatus Liberibacter asiaticus gxpsy"
"3418","lat","Candidatus Liberibacter asiaticus Ishi-1","Candidatus Liberibacter asiaticus Ishi-1"
"3419","lso","Candidatus Liberibacter solanacearum","Candidatus Liberibacter solanacearum"
"3420","lcc","Liberibacter crescens","Liberibacter crescens"
"3421","lar","Candidatus Liberibacter americanus","Candidatus Liberibacter americanus"
"3422","lau","Candidatus Liberibacter africanus","Candidatus Liberibacter africanus"
"3423","shz","Shinella sp. HZN7","Shinella sp. HZN7"
"3424","szo","Shinella zoogloeoides","Shinella zoogloeoides"
"3425","soj","Shinella oryzae","Shinella oryzae"
"3426","abaw","Georhizobium profundi","Georhizobium profundi"
"3427","pdes","Peteryoungia desertarenae","Peteryoungia desertarenae"
"3428","kai","Kaistia sp. 32K","Kaistia sp. 32K"
"3429","bme","Brucella melitensis bv. 1 16M","Brucella melitensis bv. 1 16M"
"3430","bmel","Brucella melitensis bv. 1 16M","Brucella melitensis bv. 1 16M"
"3431","bmi","Brucella melitensis ATCC 23457","Brucella melitensis ATCC 23457"
"3432","bmz","Brucella melitensis M28","Brucella melitensis M28"
"3433","bmg","Brucella melitensis M5-90","Brucella melitensis M5-90"
"3434","bmw","Brucella melitensis NI","Brucella melitensis NI"
"3435","bmee","Brucella melitensis bv. 3 Ether","Brucella melitensis bv. 3 Ether"
"3436","bmf","Brucella abortus 2308","Brucella abortus 2308"
"3437","bmb","Brucella abortus bv. 1 9-941","Brucella abortus bv. 1 9-941"
"3438","bmc","Brucella abortus S19","Brucella abortus S19"
"3439","baa","Brucella abortus A13334","Brucella abortus A13334"
"3440","babo","Brucella abortus bv. 2 86/8/59","Brucella abortus bv. 2 86/8/59"
"3441","babr","Brucella abortus bv. 6 870","Brucella abortus bv. 6 870"
"3442","babt","Brucella abortus 63 75","Brucella abortus 63 75"
"3443","babb","Brucella abortus BDW","Brucella abortus BDW"
"3444","babu","Brucella abortus bv. 9 C68","Brucella abortus bv. 9 C68"
"3445","babs","Brucella abortus BER","Brucella abortus BER"
"3446","babc","Brucella abortus NCTC 10505","Brucella abortus NCTC 10505"
"3447","bms","Brucella suis 1330","Brucella suis 1330"
"3448","bsi","Brucella suis 1330","Brucella suis 1330"
"3449","bsf","Brucella suis bv. 1","Brucella suis bv. 1"
"3450","bsui","Brucella suis bv. 2 Bs143CITA","Brucella suis bv. 2 Bs143CITA"
"3451","bsup","Brucella suis bv. 2 PT09143","Brucella suis bv. 2 PT09143"
"3452","bsuv","Brucella suis bv. 2 PT09172","Brucella suis bv. 2 PT09172"
"3453","bsuc","Brucella suis bv. 2 Bs364CITA","Brucella suis bv. 2 Bs364CITA"
"3454","bmt","Brucella suis ATCC 23445","Brucella suis ATCC 23445"
"3455","bsz","Brucella suis bv. 3","Brucella suis bv. 3"
"3456","bsv","Brucella suis VBI22","Brucella suis VBI22"
"3457","bsw","Brucella suis ZW043","Brucella suis ZW043"
"3458","bsg","Brucella suis ZW046","Brucella suis ZW046"
"3459","bov","Brucella ovis","Brucella ovis"
"3460","bcs","Brucella canis ATCC 23365","Brucella canis ATCC 23365"
"3461","bsk","Brucella canis HSK A52141","Brucella canis HSK A52141"
"3462","bol","Brucella canis Oliveri","Brucella canis Oliveri"
"3463","bcar","Brucella canis RM6/66","Brucella canis RM6/66"
"3464","bcas","Brucella canis SVA13","Brucella canis SVA13"
"3465","bmr","Brucella microti","Brucella microti"
"3466","bpp","Brucella pinnipedialis B2/94","Brucella pinnipedialis B2/94"
"3467","bpv","Brucella pinnipedialis 6/566","Brucella pinnipedialis 6/566"
"3468","bcet","Brucella ceti TE10759-12","Brucella ceti TE10759-12"
"3469","bcee","Brucella ceti TE28753-12","Brucella ceti TE28753-12"
"3470","bvl","Brucella vulpis","Brucella vulpis"
"3471","bru","Brucella sp. 2002734562","Brucella sp. 2002734562"
"3472","brj","Brucella sp. 09RB8471","Brucella sp. 09RB8471"
"3473","oin","Brucella intermedia","Brucella intermedia"
"3474","bio","Brucella inopinata","Brucella inopinata"
"3475","oan","Ochrobactrum anthropi ATCC 49188","Ochrobactrum anthropi ATCC 49188"
"3476","oah","Brucella anthropi","Brucella anthropi"
"3477","ops","Brucella pseudogrignonensis","Brucella pseudogrignonensis"
"3478","och","Ochrobactrum quorumnocens","Ochrobactrum quorumnocens"
"3479","ocr","Ochrobactrum sp. MT180101","Ochrobactrum sp. MT180101"
"3480","ocl","Ochrobactrum sp. EEELCW01","Ochrobactrum sp. EEELCW01"
"3481","pscq","Pseudochrobactrum algeriensis","Pseudochrobactrum algeriensis"
"3482","bja","Bradyrhizobium diazoefficiens USDA 110","Bradyrhizobium diazoefficiens USDA 110"
"3483","bju","Bradyrhizobium japonicum USDA 6","Bradyrhizobium japonicum USDA 6"
"3484","bjp","Bradyrhizobium japonicum E109","Bradyrhizobium japonicum E109"
"3485","bra","Bradyrhizobium sp. ORS 278","Bradyrhizobium sp. ORS 278"
"3486","bbt","Bradyrhizobium sp. BTAi1","Bradyrhizobium sp. BTAi1"
"3487","brs","Bradyrhizobium cosmicum","Bradyrhizobium cosmicum"
"3488","aol","Bradyrhizobium oligotrophicum","Bradyrhizobium oligotrophicum"
"3489","brc","Bradyrhizobium sp. CCGE-LA001","Bradyrhizobium sp. CCGE-LA001"
"3490","brad","Bradyrhizobium sp. BF49","Bradyrhizobium sp. BF49"
"3491","bic","Bradyrhizobium icense","Bradyrhizobium icense"
"3492","bro","Bradyrhizobium sp. ORS 285","Bradyrhizobium sp. ORS 285"
"3493","brk","Bradyrhizobium sp. SK17","Bradyrhizobium sp. SK17"
"3494","bot","Bradyrhizobium ottawaense","Bradyrhizobium ottawaense"
"3495","brq","Bradyrhizobium amphicarpaeae","Bradyrhizobium amphicarpaeae"
"3496","bgq","Bradyrhizobium guangdongense","Bradyrhizobium guangdongense"
"3497","bgz","Bradyrhizobium guangzhouense","Bradyrhizobium guangzhouense"
"3498","bsym","Bradyrhizobium symbiodeficiens","Bradyrhizobium symbiodeficiens"
"3499","bbet","Bradyrhizobium betae","Bradyrhizobium betae"
"3500","barh","Bradyrhizobium arachidis","Bradyrhizobium arachidis"
"3501","bvz","Bradyrhizobium vignae","Bradyrhizobium vignae"
"3502","bel","Bradyrhizobium elkanii","Bradyrhizobium elkanii"
"3503","bdg","Bradyrhizobium daqingense","Bradyrhizobium daqingense"
"3504","bsep","Bradyrhizobium septentrionale","Bradyrhizobium septentrionale"
"3505","bqb","Bradyrhizobium quebecense","Bradyrhizobium quebecense"
"3506","rpa","Rhodopseudomonas palustris CGA009","Rhodopseudomonas palustris CGA009"
"3507","rpb","Rhodopseudomonas palustris HaA2","Rhodopseudomonas palustris HaA2"
"3508","rpc","Rhodopseudomonas palustris BisB18","Rhodopseudomonas palustris BisB18"
"3509","rpd","Rhodopseudomonas palustris BisB5","Rhodopseudomonas palustris BisB5"
"3510","rpe","Rhodopseudomonas palustris BisA53","Rhodopseudomonas palustris BisA53"
"3511","rpt","Rhodopseudomonas palustris TIE-1","Rhodopseudomonas palustris TIE-1"
"3512","rpx","Rhodopseudomonas palustris DX-1","Rhodopseudomonas palustris DX-1"
"3513","rbk","Rhodopseudomonas boonkerdii","Rhodopseudomonas boonkerdii"
"3514","nwi","Nitrobacter winogradskyi","Nitrobacter winogradskyi"
"3515","nha","Nitrobacter hamburgensis","Nitrobacter hamburgensis"
"3516","oca","Afipia carboxidovorans OM5","Mississippi"
"3517","ocg","Afipia carboxidovorans OM5","Goettingen"
"3518","oco","Afipia carboxidovorans OM4","Afipia carboxidovorans OM4"
"3519","vgo","Variibacter gotjawalensis","Variibacter gotjawalensis"
"3520","trb","Tardiphaga robiniae","Tardiphaga robiniae"
"3521","bop","Bosea sp. PAMC 26642","Bosea sp. PAMC 26642"
"3522","bos","Bosea sp. RAC05","Bosea sp. RAC05"
"3523","bvv","Bosea vaviloviae","Bosea vaviloviae"
"3524","boi","Bosea sp. Tri-49","Bosea sp. Tri-49"
"3525","bof","Bosea sp. F3-2","Bosea sp. F3-2"
"3526","bhe","Bartonella henselae Houston-1","Bartonella henselae Houston-1"
"3527","bhn","Bartonella henselae BM1374163","Bartonella henselae BM1374163"
"3528","bhs","Bartonella henselae BM1374165","Bartonella henselae BM1374165"
"3529","bqu","Bartonella quintana Toulouse","Bartonella quintana Toulouse"
"3530","bqr","Bartonella quintana RM-11","Bartonella quintana RM-11"
"3531","bbk","Bartonella bacilliformis","Bartonella bacilliformis"
"3532","btr","Bartonella tribocorum CIP 105476","Bartonella tribocorum CIP 105476"
"3533","btx","Bartonella tribocorum BM1374166","Bartonella tribocorum BM1374166"
"3534","bgr","Bartonella grahamii","Bartonella grahamii"
"3535","bcd","Bartonella clarridgeiae","Bartonella clarridgeiae"
"3536","baus","Bartonella australis","Bartonella australis"
"3537","bvn","Bartonella vinsonii subsp. berkhoffii","Bartonella vinsonii subsp. berkhoffii"
"3538","banc","Bartonella ancashensis","Bartonella ancashensis"
"3539","bapi","Bartonella apis","Bartonella apis"
"3540","bart","Bartonella sp. JB15","Bartonella sp. JB15"
"3541","bara","Bartonella sp. A1379B","Bartonella sp. A1379B"
"3542","barw","Bartonella sp. WD16.2","Bartonella sp. WD16.2"
"3543","barr","Bartonella sp. Raccoon60","Bartonella sp. Raccoon60"
"3544","baro","Bartonella sp. 1-1C","Bartonella sp. 1-1C"
"3545","barj","Bartonella sp. JB63","Bartonella sp. JB63"
"3546","bez","Bartonella elizabethae","Bartonella elizabethae"
"3547","barn","Bartonella krasnovii OE 1-1","Bartonella krasnovii OE 1-1"
"3548","bky","Bartonella kosoy","Bartonella kosoy"
"3549","bals","Bartonella alsatica","Bartonella alsatica"
"3550","xau","Xanthobacter autotrophicus","Xanthobacter autotrophicus"
"3551","xdi","Xanthobacter dioxanivorans","Xanthobacter dioxanivorans"
"3552","azc","Azorhizobium caulinodans","Azorhizobium caulinodans"
"3553","sno","Starkeya novella","Starkeya novella"
"3554","star","Starkeya sp. ORNL1","Starkeya sp. ORNL1"
"3555","lne","Labrys sp. KNU-23","Labrys sp. KNU-23"
"3556","anc","Ancylobacter sp. TS-1","Ancylobacter sp. TS-1"
"3557","apra","Ancylobacter pratisalsi","Ancylobacter pratisalsi"
"3558","apol","Ancylobacter polymorphus","Ancylobacter polymorphus"
"3559","mea","Methylorubrum extorquens AM1","Methylorubrum extorquens AM1"
"3560","mdi","Methylorubrum extorquens DM4","Methylorubrum extorquens DM4"
"3561","mex","Methylorubrum extorquens PA1","Methylorubrum extorquens PA1"
"3562","mch","Methylorubrum extorquens CM4","Methylorubrum extorquens CM4"
"3563","mpo","Methylorubrum populi","Methylorubrum populi"
"3564","mza","Methylorubrum zatmanii","Methylorubrum zatmanii"
"3565","mrd","Methylobacterium radiotolerans","Methylobacterium radiotolerans"
"3566","met","Methylobacterium sp. 4-46","Methylobacterium sp. 4-46"
"3567","mno","Methylobacterium nodulans","Methylobacterium nodulans"
"3568","mor","Methylobacterium oryzae","Methylobacterium oryzae"
"3569","meta","Methylobacterium sp. AMS5","Methylobacterium sp. AMS5"
"3570","maqu","Methylobacterium aquaticum","Methylobacterium aquaticum"
"3571","mphy","Methylobacterium phyllosphaerae","Methylobacterium phyllosphaerae"
"3572","mee","Methylobacterium currus","Methylobacterium currus"
"3573","metd","Methylobacterium sp. DM1","Methylobacterium sp. DM1"
"3574","metx","Methylobacterium sp. XJLW","Methylobacterium sp. XJLW"
"3575","mets","Methylobacterium durans","Methylobacterium durans"
"3576","meti","Methylobacterium radiodurans","Methylobacterium radiodurans"
"3577","mmes","Methylobacterium mesophilicum","Methylobacterium mesophilicum"
"3578","mtea","Methylobacterium terrae","Methylobacterium terrae"
"3579","mind","Methylobacterium indicum","Methylobacterium indicum"
"3580","mog","Methylobacterium organophilum","Methylobacterium organophilum"
"3581","moc","Microvirga ossetica","Microvirga ossetica"
"3582","miv","Microvirga sp. 17 mud 1-3","Microvirga sp. 17 mud 1-3"
"3583","mico","Microvirga thermotolerans","Microvirga thermotolerans"
"3584","bid","Beijerinckia indica","Beijerinckia indica"
"3585","msl","Methylocella silvestris","Methylocella silvestris"
"3586","mtun","Methylocella tundrae","Methylocella tundrae"
"3587","mlg","Methylovirgula ligni","Methylovirgula ligni"
"3588","rhj","Rhodoblastus sp. SSC7","Rhodoblastus sp. SSC7"
"3589","bbar","Beijerinckiaceae bacterium RH AL1","Beijerinckiaceae bacterium RH AL1"
"3590","chel","Chelatococcus sp. CO-6","Chelatococcus sp. CO-6"
"3591","cdq","Chelatococcus daeguensis","Chelatococcus daeguensis"
"3592","hdn","Hyphomicrobium denitrificans ATCC 51888","Hyphomicrobium denitrificans ATCC 51888"
"3593","hdt","Hyphomicrobium denitrificans 1NES1","Hyphomicrobium denitrificans 1NES1"
"3594","hmc","Hyphomicrobium sp. MC1","Hyphomicrobium sp. MC1"
"3595","hni","Hyphomicrobium nitrativorans","Hyphomicrobium nitrativorans"
"3596","rva","Rhodomicrobium vannielii","Rhodomicrobium vannielii"
"3597","fil","Candidatus Filomicrobium marinum W","Candidatus Filomicrobium marinum W"
"3598","fiy","Candidatus Filomicrobium marinum Y","Candidatus Filomicrobium marinum Y"
"3599","rhz","Rhodoplanes sp. Z2-YC6860","Rhodoplanes sp. Z2-YC6860"
"3600","mcg","Methyloceanibacter caenitepidi","Methyloceanibacter caenitepidi"
"3601","metg","Methyloligella sp. GL2","Methyloligella sp. GL2"
"3602","ntd","Caenibius tardaugens","Caenibius tardaugens"
"3603","phl","Pelagibacterium halotolerans","Pelagibacterium halotolerans"
"3604","deq","Devosia sp. H5989","Devosia sp. H5989"
"3605","dei","Devosia sp. I507","Devosia sp. I507"
"3606","dea","Devosia ginsengisoli","Devosia ginsengisoli"
"3607","dsal","Devosia salina","Devosia salina"
"3608","mmyr","Maritalea myrionectae","Maritalea myrionectae"
"3609","yti","Youhaiella tibetensis","Youhaiella tibetensis"
"3610","bvr","Blastochloris viridis","Blastochloris viridis"
"3611","blag","Blastochloris tepida","Blastochloris tepida"
"3612","msc","Methylocystis sp. SC2","Methylocystis sp. SC2"
"3613","mbry","Methylocystis bryophila","Methylocystis bryophila"
"3614","mros","Methylocystis rosea","Methylocystis rosea"
"3615","mhey","Methylocystis heyeri","Methylocystis heyeri"
"3616","mpar","Methylocystis parvus","Methylocystis parvus"
"3617","mtw","Methylosinus trichosporium","Methylosinus trichosporium"
"3618","cmet","Chenggangzhangella methanolivorans","Chenggangzhangella methanolivorans"
"3619","pleo","Pleomorphomonas sp. SM30","Pleomorphomonas sp. SM30"
"3620","hdi","Hartmannibacter diazotrophicus","Hartmannibacter diazotrophicus"
"3621","mey","Martelella endophytica","Martelella endophytica"
"3622","maad","Martelella sp. AD-3","Martelella sp. AD-3"
"3623","mmed","Martelella mediterranea","Martelella mediterranea"
"3624","mlut","Martelella lutilitoris","Martelella lutilitoris"
"3625","aua","Aureimonas sp. AU20","Aureimonas sp. AU20"
"3626","aala","Aureimonas sp. OT7","Aureimonas sp. OT7"
"3627","aalm","Aureimonas altamirensis","Aureimonas altamirensis"
"3628","aub","Aurantimonas sp. HBX-1","Aurantimonas sp. HBX-1"
"3629","brn","Breoghania sp. L-A4","Breoghania sp. L-A4"
"3630","hci","Candidatus Hodgkinia cicadicola Dsem","Candidatus Hodgkinia cicadicola Dsem"
"3631","hct","Candidatus Hodgkinia cicadicola TETULN","Candidatus Hodgkinia cicadicola TETULN"
"3632","hcc","Candidatus Hodgkinia cicadicola TETUND1","Candidatus Hodgkinia cicadicola TETUND1"
"3633","hcd","Candidatus Hodgkinia cicadicola TETUND2","Candidatus Hodgkinia cicadicola TETUND2"
"3634","thd","Candidatus Tokpelaia hoelldoblerii","Candidatus Tokpelaia hoelldoblerii"
"3635","psin","Pseudorhodoplanes sinuspersici","Pseudorhodoplanes sinuspersici"
"3636","noh","Nordella sp. HKS 07","Nordella sp. HKS 07"
"3637","tso","Terrihabitans soli","Terrihabitans soli"
"3638","rbm","Rhizobiales bacterium NRL2","Rhizobiales bacterium NRL2"
"3639","psf","Pseudovibrio sp. FO-BEG1","Pseudovibrio sp. FO-BEG1"
"3640","pphr","Pannonibacter phragmitetus","Pannonibacter phragmitetus"
"3641","lap","Labrenzia sp. CP4","Labrenzia sp. CP4"
"3642","labr","Labrenzia sp. VG12","Labrenzia sp. VG12"
"3643","labp","Labrenzia sp. PHM005","Labrenzia sp. PHM005"
"3644","labt","Labrenzia sp. THAF35","Labrenzia sp. THAF35"
"3645","lagg","Roseibium aggregatum","Roseibium aggregatum"
"3646","siw","Stappia indica","Stappia indica"
"3647","phr","Phreatobacter cathodiphilus","Phreatobacter cathodiphilus"
"3648","pstg","Phreatobacter stygius","Phreatobacter stygius"
"3649","liz","Lichenihabitans sp. PAMC28606","Lichenihabitans sp. PAMC28606"
"3650","acut","Acuticoccus sp. I52.16.1","Acuticoccus sp. I52.16.1"
"3651","ccr","Caulobacter vibrioides CB15","Caulobacter vibrioides CB15"
"3652","ccs","Caulobacter vibrioides NA1000","Caulobacter vibrioides NA1000"
"3653","cak","Caulobacter sp. K31","Caulobacter sp. K31"
"3654","cse","Caulobacter segnis","Caulobacter segnis"
"3655","chq","Caulobacter henricii","Caulobacter henricii"
"3656","cmb","Caulobacter mirabilis","Caulobacter mirabilis"
"3657","cfh","Caulobacter flavus","Caulobacter flavus"
"3658","cauf","Caulobacter sp. FWC26","Caulobacter sp. FWC26"
"3659","caul","Caulobacter sp. S6","Caulobacter sp. S6"
"3660","pzu","Phenylobacterium zucineum","Phenylobacterium zucineum"
"3661","phb","Phenylobacterium parvum","Phenylobacterium parvum"
"3662","bsb","Brevundimonas subvibrioides","Brevundimonas subvibrioides"
"3663","brd","Brevundimonas sp. DS20","Brevundimonas sp. DS20"
"3664","bne","Brevundimonas naejangsanensis","Brevundimonas naejangsanensis"
"3665","brg","Brevundimonas sp. GW460-12-10-14-LB2","Brevundimonas sp. GW460-12-10-14-LB2"
"3666","brl","Brevundimonas sp. LM2","Brevundimonas sp. LM2"
"3667","bvc","Brevundimonas vesicularis","Brevundimonas vesicularis"
"3668","bdm","Brevundimonas diminuta","Brevundimonas diminuta"
"3669","brf","Brevundimonas sp. MF30-B","Brevundimonas sp. MF30-B"
"3670","brev","Brevundimonas sp. SGAir0440","Brevundimonas sp. SGAir0440"
"3671","bmed","Brevundimonas mediterranea","Brevundimonas mediterranea"
"3672","bvy","Brevundimonas vancanneytii","Brevundimonas vancanneytii"
"3673","bnd","Brevundimonas nasdae","Brevundimonas nasdae"
"3674","bpon","Brevundimonas pondensis","Brevundimonas pondensis"
"3675","bgoe","Brevundimonas goettingensis","Brevundimonas goettingensis"
"3676","bvit","Brevundimonas vitisensis","Brevundimonas vitisensis"
"3677","aex","Asticcacaulis excentricus","Asticcacaulis excentricus"
"3678","tsv","Terricaulis silvestris","Terricaulis silvestris"
"3679","sil","Ruegeria pomeroyi","Ruegeria pomeroyi"
"3680","sit","Ruegeria sp. TM1040","Ruegeria sp. TM1040"
"3681","rua","Ruegeria sp. AD91A","Ruegeria sp. AD91A"
"3682","rut","Ruegeria sp. THAF33","Ruegeria sp. THAF33"
"3683","jan","Jannaschia sp. CCS1","Jannaschia sp. CCS1"
"3684","rde","Roseobacter denitrificans","Roseobacter denitrificans"
"3685","rli","Roseobacter litoralis","Roseobacter litoralis"
"3686","rpon","Roseobacter ponti","Roseobacter ponti"
"3687","dsh","Dinoroseobacter shibae","Dinoroseobacter shibae"
"3688","kvl","Ketogulonicigenium vulgare WSH-001","Ketogulonicigenium vulgare WSH-001"
"3689","kvu","Ketogulonicigenium vulgare Y25","Ketogulonicigenium vulgare Y25"
"3690","kro","Ketogulonicigenium robustum","Ketogulonicigenium robustum"
"3691","pga","Phaeobacter inhibens DSM 17395","Phaeobacter inhibens DSM 17395"
"3692","pgl","Phaeobacter inhibens 2.10","Phaeobacter inhibens 2.10"
"3693","pgd","Phaeobacter gallaeciensis DSM 26640","Phaeobacter gallaeciensis DSM 26640"
"3694","php","Phaeobacter porticola","Phaeobacter porticola"
"3695","ppic","Phaeobacter piscinae","Phaeobacter piscinae"
"3696","phq","Phaeobacter sp. LSS9","Phaeobacter sp. LSS9"
"3697","oat","Octadecabacter antarcticus","Octadecabacter antarcticus"
"3698","oar","Octadecabacter arcticus","Octadecabacter arcticus"
"3699","otm","Octadecabacter temperatus","Octadecabacter temperatus"
"3700","oct","Octadecabacter sp. SW4","Octadecabacter sp. SW4"
"3701","lmd","Leisingera methylohalidivorans","Leisingera methylohalidivorans"
"3702","lej","Leisingera sp. NJS204","Leisingera sp. NJS204"
"3703","laqu","Leisingera aquaemixtae","Leisingera aquaemixtae"
"3704","red","Roseibacterium elongatum","Roseibacterium elongatum"
"3705","cid","Celeribacter indicus","Celeribacter indicus"
"3706","cmar","Celeribacter marinus","Celeribacter marinus"
"3707","ceh","Celeribacter ethanolicus","Celeribacter ethanolicus"
"3708","malg","Marinovum algicola","Marinovum algicola"
"3709","con","Actibacterium sp. EMB200-NS6","Actibacterium sp. EMB200-NS6"
"3710","ypac","Yangia pacifica","Yangia pacifica"
"3711","yan","Salipiger sp. CCB-MM3","Salipiger sp. CCB-MM3"
"3712","tpro","Salipiger profundus","Salipiger profundus"
"3713","paby","Salipiger abyssi","Salipiger abyssi"
"3714","suam","Sulfitobacter alexandrii","Sulfitobacter alexandrii"
"3715","sulz","Sulfitobacter sp. SK012","Sulfitobacter sp. SK012"
"3716","suli","Sulfitobacter sp. JL08","Sulfitobacter sp. JL08"
"3717","suld","Sulfitobacter sp. D7","Sulfitobacter sp. D7"
"3718","sdo","Sulfitobacter donghicola","Sulfitobacter donghicola"
"3719","spot","Sulfitobacter pontiacus","Sulfitobacter pontiacus"
"3720","smed","Sulfitobacter mediterraneus","Sulfitobacter mediterraneus"
"3721","sinl","Sulfitobacter indolifex","Sulfitobacter indolifex"
"3722","spse","Pseudosulfitobacter pseudonitzschiae","Pseudosulfitobacter pseudonitzschiae"
"3723","tom","Tateyamaria omphalii","Tateyamaria omphalii"
"3724","rmm","Roseovarius mucosus","Roseovarius mucosus"
"3725","rok","Roseovarius sp. AK1035","Roseovarius sp. AK1035"
"3726","rid","Roseovarius indicus","Roseovarius indicus"
"3727","rom","Roseovarius faecimaris","Roseovarius faecimaris"
"3728","roh","Roseovarius sp. THAF27","Roseovarius sp. THAF27"
"3729","aht","Antarctobacter heliothermus","Antarctobacter heliothermus"
"3730","sagu","Sagittula sp. P11","Sagittula sp. P11"
"3731","thaa","Thalassococcus sp. S3","Thalassococcus sp. S3"
"3732","ocd","Oceanicola sp. D3","Oceanicola sp. D3"
"3733","maru","Maribius sp. THAF1","Maribius sp. THAF1"
"3734","rot","Roseivivax sp. THAF197b","Roseivivax sp. THAF197b"
"3735","malu","Mameliella alba","Mameliella alba"
"3736","tgl","Thalassobius gelatinovorus","Thalassobius gelatinovorus"
"3737","tmd","Thalassobius mediterraneus","Thalassobius mediterraneus"
"3738","hat","Falsihalocynthiibacter arcticus","Falsihalocynthiibacter arcticus"
"3739","rsp","Cereibacter sphaeroides 2.4.1","Cereibacter sphaeroides 2.4.1"
"3740","rsh","Rhodobacter sphaeroides ATCC 17029","Rhodobacter sphaeroides ATCC 17029"
"3741","rsq","Rhodobacter sphaeroides ATCC 17025","Rhodobacter sphaeroides ATCC 17025"
"3742","rsk","Cereibacter sphaeroides KD131","Cereibacter sphaeroides KD131"
"3743","cazt","Cereibacter azotoformans","Cereibacter azotoformans"
"3744","rcp","Rhodobacter capsulatus","Rhodobacter capsulatus"
"3745","rhp","Rhodobacter sp. LPB0142","Rhodobacter sp. LPB0142"
"3746","rbl","Fuscovulum blasticum","Fuscovulum blasticum"
"3747","pde","Paracoccus denitrificans","Paracoccus denitrificans"
"3748","pami","Paracoccus aminophilus","Paracoccus aminophilus"
"3749","pye","Paracoccus yeei","Paracoccus yeei"
"3750","pcon","Paracoccus contaminans","Paracoccus contaminans"
