Total protein number combining all batches: 1248
  In any 2 batche(s): 606
  In any 1 batche(s): 642
Batch-specific protein numbers:
  batch1: 311
  batch2: 331

Protein Group#	Protein Accession #	Protein Description	GN	GPCRs	TFs	epigenetic_regularos	kinases	oncogenes	batch1	PSM#	Total Peptide#	Unique Peptide#	%Coverage	sig126	sig127N	sig127C	sig128N	sig128C	sig129N	sig129C	sig130N	sig130C	sig131	batch2	PSM#	Total Peptide#	Unique Peptide#	%Coverage	sig126	sig127N	sig127C	sig128N	sig128C	sig129N	sig129C	sig130N	sig130C	sig131
SJPG0113998.001	sp|Q5FWF5|ESCO1_HUMAN	N-acetyltransferase ESCO1 OS=Homo sapiens OX=9606 GN=ESCO1 PE=1 SV=3	ESCO1	-	-	-	-	-	batch1	2	1	1	1.19	600783.970356741	731941.853583769	492893.107503195	639867.886754029	605815.499766797	685948.747553676	510810.017601535	705110.191710222	521337.659744151	593240.743423373	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0104901.001	sp|Q96I15|SCLY_HUMAN	Selenocysteine lyase OS=Homo sapiens OX=9606 GN=SCLY PE=1 SV=4	SCLY	-	-	-	-	-	batch1	1	1	0	2.47	400940.302176411	286296.030727596	207273.347295565	177390.769092746	261547.486288173	301569.579507687	135011.775794316	200906.975901554	193356.113596846	251406.8095443	batch2	1	1	0	2.47	520163.572295899	444497.363603951	301365.508171051	284213.170069833	334421.951752783	241429.655685255	314042.346814605	214269.882986383	387233.383880642	378934.316364033
SJPG0107064.001	sp|Q8TF72|SHRM3_HUMAN	Protein Shroom3 OS=Homo sapiens OX=9606 GN=SHROOM3 PE=1 SV=2	SHROOM3	-	-	-	-	-	batch1	1	1	1	0.85	103207.607243452	125587.884696472	141777.463065919	118562.176314084	110715.978914629	86395.1953612479	126631.521984508	120472.971657553	136157.983257045	99350.0658616961	batch2	2	2	2	0.85	85740.9025965337	97626.5849945268	77688.4911117407	73550.31437656	70109.9807719498	82095.7409460532	78789.9034814284	86439.9415323008	75177.5444029262	81205.8034355678
SJPG0103743.001	sp|Q9BYX7|ACTBM_HUMAN	Putative beta-actin-like protein 3 OS=Homo sapiens OX=9606 GN=POTEKP PE=5 SV=1	POTEKP	-	-	-	-	-	batch1	8	8	8	6.13	2685366.56876004	775726.40467848	793633.766826938	793035.033977286	3091425.98195545	1471832.04310522	668838.577195563	896263.054188019	1120545.21494226	1419192.05601925	batch2	15	8	8	6.13	1259098.07247936	638327.466066555	1541454.86794227	1354996.54477679	1336537.31166902	1495836.65843934	850624.38816134	1237389.37784244	644145.867153857	707240.945204782
SJPG0100693.012	tr|H0YG16|H0YG16_HUMAN	Kinesin light chain 1 (Fragment) OS=Homo sapiens OX=9606 GN=KLC1 PE=1 SV=1	KLC1	-	-	-	-	-	batch1	3	1	0	4.48	328307.532982166	498196.383856669	566729.780709668	439929.292561738	337081.325429503	447094.786500652	488830.512181097	391895.292880453	561057.106864443	468724.488490572	batch2	1	1	0	4.48	245494.495547517	403893.546135856	256552.853611067	269670.193763068	222132.319084956	267526.420847136	222863.073709946	257666.113013976	308799.66389543	329822.791894771
SJPG0102872.001	sp|Q9Y6Y8|S23IP_HUMAN	SEC23-interacting protein OS=Homo sapiens OX=9606 GN=SEC23IP PE=1 SV=1	SEC23IP	-	-	-	-	-	batch1	1	1	0	0.80	140344.029507655	129852.809030858	111950.034793434	120273.071828644	123831.177197616	99274.0169187214	136091.851911585	120326.724380671	112241.937931935	88460.4148554985	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0109701.001	sp|Q86Y13|DZIP3_HUMAN	E3 ubiquitin-protein ligase DZIP3 OS=Homo sapiens OX=9606 GN=DZIP3 PE=1 SV=2	DZIP3	-	-	O	-	-	batch1	1	1	1	0.66	195983.706991054	206334.178423354	159710.203701134	168159.503639458	171659.753224342	161159.943034233	133709.852687488	142939.172213614	166135.233463004	169966.098844773	batch2	1	1	1	1.24	602007.995189084	631017.02505871	523763.081633744	528146.333118295	523399.722270984	526196.344144129	584622.99758147	473236.879065848	691466.193739453	645038.217114909
SJPG0100947.001	sp|Q99614|TTC1_HUMAN	Tetratricopeptide repeat protein 1 OS=Homo sapiens OX=9606 GN=TTC1 PE=1 SV=1	TTC1	-	-	-	-	-	batch1	1	1	0	4.79	10013914.3594252	8208037.91071723	9506660.70734274	8888391.72483608	11164371.7431936	8918361.21586485	9090203.50055438	8284869.66848178	9676553.58200572	8070448.4582144	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0100919.001	sp|P35606|COPB2_HUMAN	Coatomer subunit beta' OS=Homo sapiens OX=9606 GN=COPB2 PE=1 SV=2	COPB2	-	-	-	-	-	batch1	15	4	0	2.87	3366630.34107126	3204377.16220979	3439180.203059	3510078.52299131	3811719.39967922	3410495.45979109	3529582.83386719	3327453.80431806	3328099.22984792	3258928.15832585	batch2	22	4	0	2.87	2237218.32385181	1808811.43321331	2529557.96059763	2295437.75914062	2434398.09424335	2248056.4758515	2273227.63458199	2144587.56586687	2254385.85533064	1984660.62134685
SJPG0100019.001	sp|P05387|RLA2_HUMAN	60S acidic ribosomal protein P2 OS=Homo sapiens OX=9606 GN=RPLP2 PE=1 SV=1	RPLP2	-	-	-	-	-	batch1	72	3	0	14.78	395767.556247259	1068259.43986161	1217290.65277631	1102264.64550292	327028.179242612	696267.27374212	1036265.26688847	1114717.76135406	1218385.71087812	513784.519607145	batch2	49	3	0	14.78	336176.460691213	990302.743880134	472675.390186771	297028.479408105	300299.541550333	330537.881231278	282768.389491236	287742.322295271	549878.002971003	754656.546385542
SJPG0110755.001	sp|Q8WTR7|ZN473_HUMAN	Zinc finger protein 473 OS=Homo sapiens OX=9606 GN=ZNF473 PE=1 SV=1	ZNF473	-	-	-	-	-	batch1	1	1	0	1.03	1283976.21435202	901629.977633047	962574.916537238	701303.988560303	1268741.27772095	848387.9008003	725601.572934121	898527.024622624	1106060.20455444	825637.562142915	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0107468.001	sp|O00748|EST2_HUMAN	Cocaine esterase OS=Homo sapiens OX=9606 GN=CES2 PE=1 SV=1	CES2	-	-	-	-	-	batch1	3	1	0	1.61	963144.436423012	785458.176628452	1035930.74252917	768262.489060731	1012433.42753816	686003.835584806	884215.432124129	689798.849528093	965353.754938117	739596.980249627	batch2	5	1	0	1.61	1897364.64323539	1465576.58084183	1850009.12949787	1618578.06120034	1831895.77469139	1639158.59006865	1523152.19088982	1586538.60517519	1344116.07590748	1267223.66879519
SJPG0106841.001	sp|Q8WUZ0|BCL7C_HUMAN	B-cell CLL/lymphoma 7 protein family member C OS=Homo sapiens OX=9606 GN=BCL7C PE=1 SV=3	BCL7C	-	-	-	-	-	batch1	2	1	0	15.21	125292.314437366	231707.57253086	207604.670353951	260693.861977019	112460.321479761	154878.127550454	214218.504680197	220276.07416813	219326.990430538	176680.874398823	batch2	2	1	0	15.21	118878.422744832	213759.4853382	87888.3425344177	93650.3527543342	88115.2552125281	102570.652891791	112430.716177419	82880.7754289409	136230.523493709	147381.060791568
SJPG0163039.006	co|CON_Q148H6|Con	TREMBL:Q148H6|Contaminant Bos taurus: Hypothetical protein MGC139876	NA	-	-	-	-	-	batch1	1	1	1	1.51	2581194.92312221	1931563.51298755	2548227.02415315	1810241.87384229	2558839.56516321	2452692.85512896	2192580.86519844	1891163.99070051	2108840.21202031	2392641.39476523	batch2	1	1	1	1.51	9236303.91672151	10688990.6661593	6256423.214643	9125588.02544857	8789760.03336486	10256026.3276657	9716696.96829897	9943411.12679084	10133850.6345124	10516196.9612985
SJPG0115992.005	sp|Q13352-5|CENPR_HUMAN	Isoform 5 of Centromere protein R OS=Homo sapiens OX=9606 GN=ITGB3BP	ITGB3BP	-	-	-	-	-	batch1	1	1	0	5.09	212948.491323143	174315.153088843	167073.948598539	153272.257126682	235153.91654018	169533.068522154	164968.492657681	169385.794857588	177113.011944217	174566.365966875	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0110213.001	sp|Q8IY18|SMC5_HUMAN	Structural maintenance of chromosomes protein 5 OS=Homo sapiens OX=9606 GN=SMC5 PE=1 SV=2	SMC5	-	-	-	-	-	batch1	2	1	1	2.09	222343.264494102	199314.171560949	180036.613550096	185700.438363145	202985.20164293	226622.220919478	183362.641948443	145627.14084583	164243.935858325	224125.039358558	batch2	4	1	1	2.09	102086.85175694	91157.2348121611	94453.1732366452	97406.9015275038	92275.9515155211	93958.6636026823	84848.9344757015	92439.5922531232	96819.2579086476	110807.933426824
SJPG0100081.001	sp|P35611|ADDA_HUMAN	Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=2	ADD1	-	-	-	-	-	batch1	5	4	0	6.11	530231.110387546	465213.010065578	376317.212584566	410636.128272388	460773.382470135	385218.382535951	392867.694356396	383513.232616702	420861.996485215	382318.607664941	batch2	6	4	0	6.11	408430.440802272	290984.077399418	394443.856730707	338493.770926996	386072.813607209	354860.683011396	316675.562887809	319933.209057477	310674.340658267	327943.940487519
SJPG0103150.001	sp|Q9UNN5|FAF1_HUMAN	FAS-associated factor 1 OS=Homo sapiens OX=9606 GN=FAF1 PE=1 SV=2	FAF1	-	-	-	-	-	batch1	1	1	1	1.23	53685.5988009292	74505.2322380244	50873.5865083783	56653.788760699	38784.6213303479	99127.2122687478	60396.727088739	58551.9006471117	51414.2669284756	49569.208629037	batch2	1	1	0	1.69	4741395.50222426	7824977.20258331	4420330.36553344	4801004.66941434	4528176.41603319	5091567.2597465	5648118.67414427	4900504.37105338	8180244.04443786	7819139.77486096
SJPG0103550.001	sp|Q9Y5M8|SRPRB_HUMAN	Signal recognition particle receptor subunit beta OS=Homo sapiens OX=9606 GN=SRPRB PE=1 SV=3	SRPRB	-	-	-	-	-	batch1	1	1	1	4.80	661907.770740516	425340.410785642	265516.064199787	529369.955288006	381449.13116643	154884.871703574	516285.998797172	488695.075390044	424290.222439423	171555.103884582	batch2	1	1	1	4.80	557386.523051114	118894.559006105	943330.929045648	297889.110718912	610238.007878893	244209.083361196	225982.343927484	332010.25817127	88364.8330482431	77468.4150131416
SJPG0104172.001	sp|O00291|HIP1_HUMAN	Huntingtin-interacting protein 1 OS=Homo sapiens OX=9606 GN=HIP1 PE=1 SV=5	HIP1	-	-	-	-	O	batch1	1	1	0	0.77	2791318.79514722	4503982.94579319	4275739.05590839	3795771.85841694	3442921.70714591	3977562.47635909	3906699.33579466	4155336.13576784	4260918.62241454	4570308.2150713	batch2	1	1	0	0.77	663078.717081127	1051996.21645214	672189.1811367	897442.181882586	695783.431748824	869098.448756538	863284.857478105	715688.094235878	982921.48459822	1099572.21716733
SJPG0100741.001	sp|O14490|DLGP1_HUMAN	Disks large-associated protein 1 OS=Homo sapiens OX=9606 GN=DLGAP1 PE=1 SV=1	DLGAP1	-	-	-	-	-	batch1	1	1	0	1.23	216119.759256653	215585.112638009	234887.76534764	204150.348748368	185386.431543414	143793.126215235	242076.198644373	204082.187637719	225245.273061455	158922.617192834	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0110764.001	sp|Q7Z7B0|FLIP1_HUMAN	Filamin-A-interacting protein 1 OS=Homo sapiens OX=9606 GN=FILIP1 PE=1 SV=1	FILIP1	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	0.58	173276.571556937	45093.7938139563	206822.089791361	153741.063729478	147946.996224816	212126.915033639	101410.316638277	166514.135599087	49425.3136062045	44520.5772065253
SJPG0106181.001	sp|Q9NP58|ABCB6_HUMAN	ATP-binding cassette sub-family B member 6, mitochondrial OS=Homo sapiens OX=9606 GN=ABCB6 PE=1 SV=1	ABCB6	-	-	-	-	-	batch1	7	1	0	0.95	6135061.32982388	2688050.14886986	2529983.9530316	2158060.20332045	6117222.22733996	3311711.12552933	2192708.85503226	1964346.93926294	2543596.25039797	3190218.96370805	batch2	8	1	0	0.95	7609340.34242333	3744715.70270417	5123532.80126	7193819.75059928	6828637.70783226	6670081.35594043	4563601.25686184	6337288.29529572	3808881.66455017	3518539.36333615
SJPG0102448.001	sp|Q13620|CUL4B_HUMAN	Cullin-4B OS=Homo sapiens OX=9606 GN=CUL4B PE=1 SV=4	CUL4B	-	-	O	-	O	batch1	1	1	0	1.75	139032.772371354	197894.365386542	201892.155250015	229355.000671294	95359.928579489	188176.781790242	194778.628885818	201838.257966971	188460.286619186	187109.168304476	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0102015.007	tr|B4DWM9|B4DWM9_HUMAN	cDNA FLJ56641, moderately similar to Lambda-crystallin homolog OS=Homo sapiens OX=9606 PE=2 SV=1	NA	-	-	-	-	-	batch1	2	1	1	8.44	580447.362709642	468893.622417305	446694.12365429	447599.411070154	462815.734750674	477397.32928265	448691.484177887	449158.406083839	415429.814194305	448780.256446668	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0105170.001	sp|Q96N67|DOCK7_HUMAN	Dedicator of cytokinesis protein 7 OS=Homo sapiens OX=9606 GN=DOCK7 PE=1 SV=4	DOCK7	-	-	-	-	-	batch1	1	1	0	0.65	165299.676881515	63700.7416382593	48186.3626669138	47987.7537288725	128727.233818728	52992.2972654759	48229.1776831163	52706.2844493788	58221.3765242274	54685.7113704882	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0102371.001	sp|Q9UM00|TMCO1_HUMAN	Calcium load-activated calcium channel OS=Homo sapiens OX=9606 GN=TMCO1 PE=1 SV=2	TMCO1	-	-	-	-	-	batch1	1	1	0	5.86	253138.846516296	242643.148294441	266266.237155876	250925.180936369	272572.804060076	271322.156524543	252040.732531118	276204.482487725	280946.291628253	261156.398649815	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0107367.001	sp|Q9Y4B6|DCAF1_HUMAN	DDB1- and CUL4-associated factor 1 OS=Homo sapiens OX=9606 GN=DCAF1 PE=1 SV=3	DCAF1	-	-	-	-	-	batch1	1	1	0	1.13	65836.2791547384	59001.4244218909	53818.4649851445	53741.7773583411	62598.1870903076	64869.7158409602	59002.756061881	55578.1471601875	55798.8323373026	56698.8406157024	batch2	1	1	0	1.13	24409.9396340875	27113.0796808852	20943.4900057625	16492.7279573924	28874.1366414104	21499.901591207	24784.300893758	21435.3581518347	22324.9267278683	24285.2149925473
SJPG0127367.002	cu|uc002gyy.3|ucsc	SubName: Full=Protein UBBP4;	NA	-	-	-	-	-	batch1	2	1	1	7.14	265724.538903944	551917.64289137	463084.42356296	575218.818829022	259730.660831142	586110.691170536	440028.185225974	490766.160611247	506738.573692095	571168.342478318	batch2	1	1	1	7.14	464741.047815268	730814.471627945	504937.907028817	381287.785478997	410892.76643861	392886.975919111	476425.807304155	348541.383811564	945175.170950037	982892.913396201
SJPG0101256.001	sp|O75223|GGCT_HUMAN	Gamma-glutamylcyclotransferase OS=Homo sapiens OX=9606 GN=GGCT PE=1 SV=1	GGCT	-	-	-	-	-	batch1	1	1	0	5.32	74524.6167685372	73089.8970946752	95113.1381796654	79457.0237763405	76836.5290884168	91932.9128679563	69543.1326131342	89555.0222962151	92851.2496876809	76521.6987128715	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0100055.001	sp|P62263|RS14_HUMAN	40S ribosomal protein S14 OS=Homo sapiens OX=9606 GN=RPS14 PE=1 SV=3	RPS14	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	1	13.91	88543.8018303627	91701.6932905516	71587.9615509382	80696.5097965279	74552.9528368337	68781.7846507868	65541.2910069858	61830.2299394419	77265.3872811415	91798.0662268594
SJPG0106068.001	sp|P35250|RFC2_HUMAN	Replication factor C subunit 2 OS=Homo sapiens OX=9606 GN=RFC2 PE=1 SV=3	RFC2	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	2	1	0	2.54	18206.8882243161	21553.8304216213	17702.433986157	19680.2003067668	16665.0981727657	15979.4120577026	14448.0291851834	14368.3665152146	15003.818344693	19537.7545490737
SJPG0105138.002	sp|Q9H0E9-2|BRD8_HUMAN	Isoform 2 of Bromodomain-containing protein 8 OS=Homo sapiens OX=9606 GN=BRD8	BRD8	-	-	-	-	-	batch1	1	1	0	1.47	529217.814968772	446989.084588409	382302.246622765	428788.87177103	467035.086798517	454716.016049557	373820.337179403	408964.892555135	360699.895677052	455429.950841653	batch2	1	1	0	1.47	221865.205769962	151784.622090903	142194.516801049	121619.172489076	162573.0060285	118583.171025213	126962.640324715	100602.353130452	153974.810608382	155478.242626679
SJPG0102191.001	sp|Q96S55|WRIP1_HUMAN	ATPase WRNIP1 OS=Homo sapiens OX=9606 GN=WRNIP1 PE=1 SV=2	WRNIP1	-	-	-	-	-	batch1	1	1	0	2.11	208880.45111822	138408.868875142	115184.920862765	106091.183274263	197317.98118225	146332.766767498	115528.741784739	116025.008075092	143916.487467003	151629.572168789	batch2	1	1	0	2.11	83167.0896975396	105925.837602646	86557.9497589168	72195.1395077717	78791.2973503717	73313.6590142998	94880.4363196646	77694.2655154658	106063.191997581	122434.938142147
SJPG0110367.001	sp|Q8IZC4|RTKN2_HUMAN	Rhotekin-2 OS=Homo sapiens OX=9606 GN=RTKN2 PE=2 SV=1	RTKN2	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	1.64	403637.211572605	472664.112248855	395654.414319576	490799.528943474	399869.797788426	426810.476256227	429688.979265409	494379.693525234	386893.733338537	407842.067560079
SJPG0101233.001	sp|Q9UKM9|RALY_HUMAN	RNA-binding protein Raly OS=Homo sapiens OX=9606 GN=RALY PE=1 SV=1	RALY	-	-	-	-	-	batch1	11	1	0	3.27	1351482.73278392	722923.619783699	696403.138293979	623446.402453692	1446751.0928836	668712.681955924	667158.78351123	530124.742128723	762756.524075538	647045.525900722	batch2	10	2	0	13.73	1723002.92015782	832267.421328497	1395154.48600981	1643878.85656333	1637060.56068275	1497792.14280355	1312617.2772408	1438371.43441244	781985.849741666	722847.772185067
SJPG0104029.001	sp|P41219|PERI_HUMAN	Peripherin OS=Homo sapiens OX=9606 GN=PRPH PE=1 SV=2	PRPH	-	-	-	-	-	batch1	14	4	0	6.81	200137.897293772	695479.900121993	1054103.24346181	674751.654098086	160655.926957055	287058.284655202	756283.635409743	615843.189929773	901574.740935013	310416.325921968	batch2	13	6	0	6.81	115072.76170924	766642.208644517	115107.064077064	115722.564755611	99514.1401551839	139301.021853289	244475.45459026	139146.21513785	252727.519989033	265370.580511266
SJPG0122345.001	sp|Q07352|TISB_HUMAN	mRNA decay activator protein ZFP36L1 OS=Homo sapiens OX=9606 GN=ZFP36L1 PE=1 SV=1	ZFP36L1	-	-	-	-	-	batch1	2	1	0	2.96	170816.926230684	329894.831256734	331652.882694397	281214.630983687	192571.307987602	223734.789578667	383962.616061791	265157.548478624	409313.223928918	202875.1420122	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0109148.001	sp|Q9H583|HEAT1_HUMAN	HEAT repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=HEATR1 PE=1 SV=3	HEATR1	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	0.84	128861.655420373	61503.5675376548	101826.846188835	113541.785921503	127412.610892141	112142.670249146	54043.1685758789	97630.5355488124	83752.0915717584	64644.1745881961
SJPG0110634.001	sp|Q2TAC2|CCD57_HUMAN	Coiled-coil domain-containing protein 57 OS=Homo sapiens OX=9606 GN=CCDC57 PE=1 SV=3	CCDC57	-	-	-	-	-	batch1	1	1	0	1.53	51516.5350804395	66212.3286910927	76231.1509871932	74269.582057238	51918.496735611	67363.1745077867	80981.8488884413	85048.9482592655	67332.3927886889	64308.3113138273	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0100666.001	sp|Q9H4M9|EHD1_HUMAN	EH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=EHD1 PE=1 SV=2	EHD1	-	-	-	-	-	batch1	3	2	0	3.37	66226.3279417367	82551.7789944585	73138.6371528098	89916.0317324313	57571.6751385487	77405.7511920082	78369.1405465884	86403.2332801231	76835.0321016851	73824.9848945993	batch2	2	2	0	3.37	73862.8898349735	81264.9922532503	57438.4601088961	65621.4876710926	80802.9639991557	60093.6854459259	64949.8844275348	67551.7631159314	79974.8334131726	83695.5188314834
SJPG0100959.001	sp|O00567|NOP56_HUMAN	Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4	NOP56	-	-	-	-	-	batch1	3	1	1	2.36	333117.315348816	145420.83754283	132957.695466579	157099.278132972	201867.984760886	187631.613601607	132554.104061214	123464.250222591	143090.58459906	178961.629258731	batch2	4	1	1	2.36	221582.355339646	108503.918221628	193498.985183628	149085.372605619	235564.414431966	151543.921866001	143281.793659842	156493.558158573	170765.896054034	151170.624070698
SJPG0119385.001	sp|Q7Z5L2|R3HCL_HUMAN	Coiled-coil domain-containing protein R3HCC1L OS=Homo sapiens OX=9606 GN=R3HCC1L PE=1 SV=3	R3HCC1L	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	1.39	367615.819219942	434052.123767808	462296.832437528	597575.232067375	424419.474858455	651640.449037799	413901.406988335	545332.49689652	269712.361850923	327260.577812084
SJPG0104068.001	sp|Q99766|ATP5S_HUMAN	ATP synthase subunit s, mitochondrial OS=Homo sapiens OX=9606 GN=DMAC2L PE=1 SV=3	DMAC2L	-	-	-	-	-	batch1	1	1	0	4.19	220216.557710847	91314.3273086366	108524.088424869	79170.7366895054	197902.653396729	64058.1555814636	99293.6239912452	78665.4409523081	108909.569501236	71457.7463106356	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0122500.005	tr|Q59FS2|Q59FS2_HUMAN	ZNF589 protein variant (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=1	NA	-	-	-	-	-	batch1	2	1	0	0.99	343318.585041879	186384.008318226	185399.530870856	165018.683178323	322332.460322956	197254.650527872	195022.536703385	147843.943630805	208341.595856409	185335.499970376	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0102983.001	sp|P49321|NASP_HUMAN	Nuclear autoantigenic sperm protein OS=Homo sapiens OX=9606 GN=NASP PE=1 SV=2	NASP	-	-	O	-	-	batch1	4	1	0	1.27	778414.770558146	597109.732562777	612545.672953048	582739.546917247	569461.701956711	756972.381760566	520228.370950393	632747.858358705	575558.521588146	700921.32619	batch2	9	2	0	2.41	471935.938642285	432196.534434028	450512.745430853	668000.653549541	525493.209758433	776642.790885389	373118.445455198	734774.35057226	588462.810098214	652824.100893452
SJPG0107052.001	sp|Q9UPQ7|PZRN3_HUMAN	E3 ubiquitin-protein ligase PDZRN3 OS=Homo sapiens OX=9606 GN=PDZRN3 PE=1 SV=2	PDZRN3	-	-	-	-	-	batch1	1	1	0	0.75	259470.489957767	181849.328522749	172970.320023262	148596.304270314	188116.534727876	140464.731016631	145157.692157263	129110.501063462	182420.561048493	139004.18687423	batch2	1	1	0	0.75	420889.578641409	434256.3442443	324852.049383935	348780.473053466	362902.041892225	331763.138487691	318246.228682636	327483.817856971	341706.364573463	325275.00239934
SJPG0101975.001	sp|Q08378|GOGA3_HUMAN	Golgin subfamily A member 3 OS=Homo sapiens OX=9606 GN=GOLGA3 PE=1 SV=2	GOLGA3	-	-	-	-	-	batch1	2	1	0	0.47	1718217.3564238	1083835.42670801	904924.004963113	728037.035308753	1719929.10586855	1039256.668374	856544.482644808	807617.107779427	902408.290214019	970109.914745287	batch2	5	1	0	0.47	1589234.47878641	812107.730043575	1453083.56504683	1347830.27879736	1434784.73620778	1328675.1282936	1275401.3845329	1232147.99483241	755030.613384238	722800.648957671
SJPG0106117.001	sp|Q6ZVD8|PHLP2_HUMAN	PH domain leucine-rich repeat-containing protein phosphatase 2 OS=Homo sapiens OX=9606 GN=PHLPP2 PE=1 SV=3	PHLPP2	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	0.76	185750.338731452	185796.737690262	167389.666394854	155390.952602575	174567.093592872	183771.945377511	163780.926102979	167539.114386163	180781.953634382	190441.124011979
SJPG0102457.001	sp|Q3ZCM7|TBB8_HUMAN	Tubulin beta-8 chain OS=Homo sapiens OX=9606 GN=TUBB8 PE=1 SV=2	TUBB8	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	3.38	235133.266751783	146608.563187305	189290.166148626	213709.420322833	191072.496431936	203729.530247221	178727.287926679	185686.834319231	105510.160278574	119201.541248649
SJPG0108176.001	sp|Q8N3X1|FNBP4_HUMAN	Formin-binding protein 4 OS=Homo sapiens OX=9606 GN=FNBP4 PE=1 SV=3	FNBP4	-	-	-	-	-	batch1	2	2	0	2.06	87916.1128304183	95022.4032728936	80695.4094661623	90953.0666338478	88031.2047420968	85227.087289772	86880.0727589761	98631.8418322723	104984.996823116	85200.1454268922	batch2	1	1	0	0.88	238391.152970912	451531.787037891	218308.256630291	230908.71975703	225567.372045767	263930.31530915	285352.747642816	271344.987799016	390696.67909657	348447.012092002
SJPG0121779.001	tr|A0A126LAY2|A0A126LAY2_HUMAN	U36 OS=Homo sapiens OX=9606 GN=U36 PE=4 SV=1	U36	-	-	-	-	-	batch1	3	1	1	1.65	223069.288993571	276554.735794709	207432.467502836	327823.289002457	107804.243621198	106612.403474171	368183.4702678	325750.378198733	297419.419045707	134890.35027936	batch2	1	1	1	1.65	162301.742228284	83003.4687034584	221668.183446197	102598.077296241	184691.689292889	87271.8580279527	97096.3684143375	111416.540807771	45199.5456850068	50819.7873682944
SJPG0101562.001	sp|P07814|SYEP_HUMAN	Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=5	EPRS1	-	-	-	-	-	batch1	8	3	0	1.26	241381.094472596	472342.340450676	389316.13299306	444462.916182015	252241.429290128	442983.233396163	380525.572896229	366410.973327098	379219.956108188	429946.465219113	batch2	8	3	0	1.26	189913.168068357	328922.098234393	180628.225903859	175995.373221075	174254.740427981	173890.950348924	154032.556753931	169349.016527906	324910.5790574	335328.605557855
SJPG0106889.006	tr|J3QLK4|J3QLK4_HUMAN	Zinc phosphodiesterase ELAC protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=ELAC2 PE=1 SV=1	ELAC2	-	-	-	-	-	batch1	1	1	1	10.14	811449.768625392	916705.650058261	901275.354745088	1080209.60366616	1021719.55980351	829128.259591275	834196.588614375	1000100.06582024	938259.167680787	887156.246879683	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SJPG0102259.001	sp|Q684P5|RPGP2_HUMAN	Rap1 GTPase-activating protein 2 OS=Homo sapiens OX=9606 GN=RAP1GAP2 PE=1 SV=2	RAP1GAP2	-	-	-	-	-	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	batch2	1	1	0	3.70	117514.49923217	92931.8237962634	130669.976106943	106727.952690791	111017.357323986	125467.925250866	106601.838541077	99723.035317968	64557.9161147811	70636.4344083202
